subject_id,n_multisyllabic_produces,mean_syllables_produced,max_syllables_produced,n_multisyllabic_understands,mean_syllables_understood,max_syllables_understood,n_multisyllabic_total_possible,proportion_multisyllabic_produced,proportion_multisyllabic_understood,Phrases,Words Understood,Words Understood Percentile-sex,Words Produced,Words Produced Percentile-sex
4,20,2.1,3,65,2.2,5,118,0.1694915254237288,0.5508474576271186,22,311,60,112,67
6,130,2.153846153846154,4,NA,NA,NA,214,0.6074766355140186,NA,NA,NA,NA,446,81
11,87,2.0804597701149423,3,13,2.6153846153846154,5,118,0.7372881355932204,0.11016949152542373,25,342,79,298,99
28,55,2.1636363636363636,4,21,2.238095238095238,5,118,0.4661016949152542,0.17796610169491525,22,260,54,195,92
47,21,2.0952380952380953,3,39,2.2564102564102564,5,118,0.17796610169491525,0.3305084745762712,25,226,45,91,69
48,21,2.0952380952380953,3,39,2.2564102564102564,5,118,0.17796610169491525,0.3305084745762712,25,226,50,91,65
71,5,2.2,3,55,2.090909090909091,3,118,0.0423728813559322,0.4661016949152542,21,220,48,39,45
72,23,2.130434782608696,3,52,2.1153846153846154,4,118,0.19491525423728814,0.4406779661016949,28,310,68,133,82
74,49,2.122448979591837,4,68,2.1911764705882355,5,118,0.4152542372881356,0.576271186440678,28,393,97,210,83
75,49,2.204081632653061,4,31,2.129032258064516,3,118,0.4152542372881356,0.2627118644067797,28,297,NA,204,83
76,36,2.111111111111111,3,82,2.207317073170732,5,118,0.3050847457627119,0.6949152542372882,28,396,99,174,83
85,8,2.25,3,39,2.128205128205128,3,118,0.06779661016949153,0.3305084745762712,25,218,41,37,37
87,13,2,2,58,2.1724137931034484,5,118,0.11016949152542373,0.4915254237288136,22,278,59,45,46
91,0,0,0,46,2.1956521739130435,5,118,0,0.3898305084745763,26,162,29,0,1
96,20,2.05,3,71,2.2253521126760565,5,118,0.1694915254237288,0.6016949152542372,27,328,69,126,67
99,7,2.142857142857143,3,49,2.163265306122449,5,118,0.059322033898305086,0.4152542372881356,17,177,26,28,26
105,8,2.25,3,71,2.2253521126760565,5,118,0.06779661016949153,0.6016949152542372,26,259,51,46,41
106,66,2.1515151515151514,5,26,2.1538461538461537,3,118,0.559322033898305,0.22033898305084745,28,335,76,224,95
113,3,2.3333333333333335,3,33,2.1515151515151514,5,118,0.025423728813559324,0.2796610169491525,17,143,25,18,25
115,76,2.1710526315789473,5,22,2.1818181818181817,3,118,0.6440677966101694,0.1864406779661017,27,349,NA,262,96
118,42,2.2142857142857144,3,26,2.0384615384615383,3,118,0.3559322033898305,0.22033898305084745,28,264,59,161,81
